"ENST_ensemblTranscript","gene","ENSG_ensemblGene","EntrezSummary","HealthyMean","DiseasedMean","FoldChange","DifferentialExpression","patientID","patientValue","group"
"00000299185","DEPDC4","00000166153
","                                            DEPDC4 (DEP Domain Containing 4) is a Protein Coding gene.                                            Diseases associated with DEPDC4 include Myopia and Renal Cell Carcinoma, Papillary, 1.                                                                                                                                    An important paralog of this gene is DEPDC7.",0.05,0.02,0.39,-0.03,"patient1_healthy",0,"healthy ASCs"
"00000299185","DEPDC4","00000166153
","                                            DEPDC4 (DEP Domain Containing 4) is a Protein Coding gene.                                            Diseases associated with DEPDC4 include Myopia and Renal Cell Carcinoma, Papillary, 1.                                                                                                                                    An important paralog of this gene is DEPDC7.",0.05,0.02,0.39,-0.03,"patient1_healthy",0,"healthy ASCs"
"00000311841","","00000256407","                                            ENSG00000256407  is a Protein Coding gene.                                                                                                                                                                                An important paralog of this gene is CYB5RL.",0.05,0.02,0.45,-0.03,"patient1_healthy",0,"healthy ASCs"
"00000322227","","00000177369","                                            ENSG00000177369  is an Uncategorized gene.                                                                                                                                                                                ",0.03,0.01,0.41,-0.02,"patient1_healthy",0,"healthy ASCs"
"00000329858","LPAR5","00000184574
","This gene encodes a member of the rhodopsin class of G protein-coupled transmembrane receptors. This protein transmits extracellular signals from lysophosphatidic acid to cells through heterotrimeric G proteins and mediates numerous cellular processes. Many G protein receptors serve as targets for pharmaceutical drugs. Transcript variants of this gene have been described.[provided by RefSeq, Dec 2008]",0.07,0.03,0.48,-0.04,"patient1_healthy",0,"healthy ASCs"
"00000330168","","00000248751","                                            ENSG00000248751  is a Protein Coding gene.                                                                                                                                                                                An important paralog of this gene is TBC1D10A.",0.44,0.2,0.46,-0.24,"patient1_healthy",0.83,"healthy ASCs"
"00000330168","","00000248751","                                            ENSG00000248751  is a Protein Coding gene.                                                                                                                                                                                An important paralog of this gene is TBC1D10A.",0.44,0.2,0.46,-0.24,"patient1_healthy",0.83,"healthy ASCs"
"00000332981","PRKCH","00000027075
","Protein kinase C (PKC) is a family of serine- and threonine-specific protein kinases that can be activated by calcium and the second messenger diacylglycerol. PKC family members phosphorylate a wide variety of protein targets and are known to be involved in diverse cellular signaling pathways. PKC family members also serve as major receptors for phorbol esters, a class of tumor promoters. Each member of the PKC family has a specific expression profile and is believed to play a distinct role in cells. The protein encoded by this gene is one of the PKC family members. It is a calcium-independent and phospholipids-dependent protein kinase. It is predominantly expressed in epithelial tissues and has been shown to reside specifically in the cell nucleus. This protein kinase can regulate keratinocyte differentiation by activating the MAP kinase MAPK13 (p38delta)-activated protein kinase cascade that targets CCAAT/enhancer-binding protein alpha (CEBPA). It is also found to mediate the transcription activation of the transglutaminase 1 (TGM1) gene. Mutations in this gene are associated with susceptibility to cerebral infarction. [provided by RefSeq, Sep 2015]",0.21,0.1,0.49,-0.11,"patient1_healthy",0,"healthy ASCs"
"00000345127","PRICKLE1","00000139174
","This gene encodes a nuclear receptor that may be a negative regulator of the Wnt/beta-catenin signaling pathway. The encoded protein localizes to the nuclear membrane and has been implicated in the nuclear trafficking of the transcription repressors REST/NRSF and REST4. Mutations in this gene have been linked to progressive myoclonus epilepsy. Alternate splicing results in multiple transcript variants. A pseudogene of this gene is found on chromosome 3. [provided by RefSeq, Sep 2009]",3.75,1.77,0.47,-1.97,"patient1_healthy",2.66,"healthy ASCs"
"00000358855","NOL8","00000198000
","NOL8 binds Ras-related GTP-binding proteins (see MIM 608267) and plays a role in cell growth (Sekiguchi et al., 2004 [PubMed 14660641]).[supplied by OMIM, Mar 2008]",0.23,0.09,0.4,-0.14,"patient1_healthy",0,"healthy ASCs"
"00000362680","","00000199550","                                            ENSG00000199550  is an RNA Gene, and is affiliated with the misc_RNA class.                                                                                                                                                                                ",1.58,0.64,0.4,-0.94,"patient1_healthy",0,"healthy ASCs"
"00000362885","","00000199755","                                            ENSG00000199755  is an RNA Gene, and is affiliated with the misc_RNA class.                                                                                                                                                                                ",0.24,0.1,0.41,-0.14,"patient1_healthy",0,"healthy ASCs"
"00000363020","","00000199890","                                            ENSG00000199890  is an RNA Gene, and is affiliated with the misc_RNA class.                                                                                                                                                                                ",1.89,0.9,0.48,-0.99,"patient1_healthy",0,"healthy ASCs"
"00000364268","","00000275930","                                            ENSG00000275930  is an RNA Gene, and is affiliated with the misc_RNA class.                                                                                                                                                                                ",1.92,0.95,0.49,-0.97,"patient1_healthy",2.08,"healthy ASCs"
"00000364281","","00000201151","                                            ENSG00000201151  is an RNA Gene, and is affiliated with the snoRNA class.                                                                                                                                                                                ",1.92,0.76,0.39,-1.17,"patient1_healthy",0,"healthy ASCs"
"00000364806","","00000201676","                                            ENSG00000201676  is an RNA Gene, and is affiliated with the misc_RNA class.                                                                                                                                                                                ",2.1,0.97,0.46,-1.13,"patient1_healthy",5.72,"healthy ASCs"
"00000364992","","00000276178","                                            ENSG00000276178  is an RNA Gene, and is affiliated with the misc_RNA class.                                                                                                                                                                                ",1.92,0.95,0.49,-0.97,"patient1_healthy",2.08,"healthy ASCs"
"00000365074","","00000201944","                                            ENSG00000201944  is an RNA Gene, and is affiliated with the snoRNA class.                                                                                                                                                                                ",0.47,0.17,0.37,-0.3,"patient1_healthy",0,"healthy ASCs"
"00000365385","","00000202255","                                            ENSG00000202255  is an RNA Gene, and is affiliated with the misc_RNA class.                                                                                                                                                                                ",1.17,0.5,0.42,-0.68,"patient1_healthy",6.56,"healthy ASCs"
"00000365644","","00000202514","                                            ENSG00000202514  is an RNA Gene, and is affiliated with the misc_RNA class.                                                                                                                                                                                ",0.81,0.39,0.48,-0.42,"patient1_healthy",0,"healthy ASCs"
"00000370548","","00000267561","                                            ENSG00000267561  is a Protein Coding gene.                                                                                                                                    Gene Ontology (GO) annotations related to this gene include sulfotransferase activity.                                            An important paralog of this gene is HS2ST1.",0.05,0.02,0.4,-0.03,"patient1_healthy",0,"healthy ASCs"
"00000370834","ACADM","00000117054
","This gene encodes the medium-chain specific (C4 to C12 straight chain) acyl-Coenzyme A dehydrogenase. The homotetramer enzyme catalyzes the initial step of the mitochondrial fatty acid beta-oxidation pathway. Defects in this gene cause medium-chain acyl-CoA dehydrogenase deficiency, a disease characterized by hepatic dysfunction, fasting hypoglycemia, and encephalopathy, which can result in infantile death. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008]",0.17,0.08,0.46,-0.09,"patient1_healthy",0,"healthy ASCs"
"00000371799","OLFM1","00000130558
","This gene product shares extensive sequence similarity with the rat neuronal olfactomedin-related ER localized protein. While the exact function of the encoded protein is not known, its abundant expression in brain suggests that it may have an essential role in nerve tissue. Several alternatively spliced transcripts encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008]",0.13,0.06,0.43,-0.07,"patient1_healthy",0.08,"healthy ASCs"
"00000371799","OLFM1","00000130558
","This gene product shares extensive sequence similarity with the rat neuronal olfactomedin-related ER localized protein. While the exact function of the encoded protein is not known, its abundant expression in brain suggests that it may have an essential role in nerve tissue. Several alternatively spliced transcripts encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008]",0.13,0.06,0.43,-0.07,"patient1_healthy",0.08,"healthy ASCs"
"00000380259","","00000239920","                                            ENSG00000239920  is a Protein Coding gene.                                                                                                                                                                                An important paralog of this gene is TRIM5.",0.05,0.02,0.4,-0.03,"patient1_healthy",0,"healthy ASCs"
"00000381106","","00000285756","                                            ENSG00000285756  is an Uncategorized gene.                                                                                                                                                                                ",0.88,0.4,0.46,-0.48,"patient1_healthy",1.2,"healthy ASCs"
"00000381106","","00000285756","                                            ENSG00000285756  is an Uncategorized gene.                                                                                                                                                                                ",0.88,0.4,0.46,-0.48,"patient1_healthy",1.2,"healthy ASCs"
"00000382179","BRSK2","00000174672
","                                            BRSK2 (BR Serine/Threonine Kinase 2) is a Protein Coding gene.                                            Diseases associated with BRSK2 include Autosomal Dominant Non-Syndromic Intellectual Disability and Paraneoplastic Limbic Encephalitis.                                            Among its related pathways are Neuroscience and Sweet Taste Signaling.                                            Gene Ontology (GO) annotations related to this gene include transferase activity, transferring phosphorus-containing groups and protein tyrosine kinase activity.                                            An important paralog of this gene is BRSK1.",0.01,0,0.37,-0.01,"patient1_healthy",0.01,"healthy ASCs"
"00000383965","","00000206692","                                            ENSG00000206692  is an RNA Gene, and is affiliated with the misc_RNA class.                                                                                                                                                                                ",0.93,0.37,0.4,-0.55,"patient1_healthy",0,"healthy ASCs"
"00000384198","","00000206925","                                            ENSG00000206925  is an RNA Gene, and is affiliated with the misc_RNA class.                                                                                                                                                                                ",0.23,0.1,0.41,-0.14,"patient1_healthy",0,"healthy ASCs"
"00000389602","MYRF","00000124920
","This gene encodes a transcription factor that is required for central nervous system myelination and may regulate oligodendrocyte differentiation. It is thought to act by increasing the expression of genes that effect myelin production but may also directly promote myelin gene expression. Loss of a similar gene in mouse models results in severe demyelination. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Nov 2014]",0.06,0.02,0.42,-0.03,"patient1_healthy",0,"healthy ASCs"
"00000389707","ARNTL","00000133794
","The protein encoded by this gene is a basic helix-loop-helix protein that forms a heterodimer with CLOCK. This heterodimer binds E-box enhancer elements upstream of Period (PER1, PER2, PER3) and Cryptochrome (CRY1, CRY2) genes and activates transcription of these genes. PER and CRY proteins heterodimerize and repress their own transcription by interacting in a feedback loop with CLOCK/ARNTL complexes. Defects in this gene have been linked to infertility, problems with gluconeogenesis and lipogenesis, and altered sleep patterns. Several transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2014]",0.87,0.35,0.4,-0.52,"patient1_healthy",0,"healthy ASCs"
"00000394808","","00000218713","                                            ENSG00000218713  is a Pseudogene.                                                                                                                                                                                ",0.03,0.01,0.47,-0.02,"patient1_healthy",0.11,"healthy ASCs"
"00000396110","","00000213754","                                            ENSG00000213754  is a Pseudogene.                                                                                                                                                                                ",0.06,0.02,0.37,-0.04,"patient1_healthy",0,"healthy ASCs"
"00000397037","","00000213959","                                            ENSG00000213959  is a Pseudogene.                                                                                                                                                                                ",0.04,0.02,0.44,-0.02,"patient1_healthy",0.19,"healthy ASCs"
"00000397230","RAD52","00000002016
","The protein encoded by this gene shares similarity with Saccharomyces cerevisiae Rad52, a protein important for DNA double-strand break repair and homologous recombination. This gene product was shown to bind single-stranded DNA ends, and mediate the DNA-DNA interaction necessary for the annealing of complementary DNA strands. It was also found to interact with DNA recombination protein RAD51, which suggested its role in RAD51 related DNA recombination and repair. A pseudogene of this gene is present on chromosome 2. Alternative splicing results in multiple transcript variants. Additional alternatively spliced transcript variants of this gene have been described, but their full-length nature is not known. [provided by RefSeq, Jul 2014]",0.55,0.25,0.44,-0.31,"patient1_healthy",0,"healthy ASCs"
"00000404707","","00000217612","                                            ENSG00000217612  is a Pseudogene.                                                                                                                                                                                ",0.01,0,0.44,0,"patient1_healthy",0.04,"healthy ASCs"
"00000406807","","00000219553","                                            ENSG00000219553  is a Pseudogene.                                                                                                                                                                                ",0.06,0.03,0.45,-0.04,"patient1_healthy",0,"healthy ASCs"
"00000408826","","00000221753","                                            ENSG00000221753  is an RNA Gene, and is affiliated with the miRNA class.                                                                                                                                                                                ",0.8,0.32,0.39,-0.49,"patient1_healthy",0.92,"healthy ASCs"
"00000409439","","00000282907","                                            ENSG00000282907  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.07,0.03,0.41,-0.04,"patient1_healthy",0.2,"healthy ASCs"
"00000409492","DLX1","00000144355
","This gene encodes a member of a homeobox transcription factor gene family similiar to the Drosophila distal-less gene. The encoded protein is localized to the nucleus where it may function as a transcriptional regulator of signals from multiple TGF-{beta} superfamily members. The encoded protein may play a role in the control of craniofacial patterning and the differentiation and survival of inhibitory neurons in the forebrain. This gene is located in a tail-to-tail configuration with another member of the family on the long arm of chromosome 2. Alternatively spliced transcript variants encoding different isoforms have been described. [provided by RefSeq, Jul 2008]",0.12,0.05,0.41,-0.07,"patient1_healthy",0,"healthy ASCs"
"00000411669","","00000231464","                                            ENSG00000231464  is a Pseudogene.                                                                                                                                                                                ",0.03,0.01,0.45,-0.02,"patient1_healthy",0,"healthy ASCs"
"00000411727","","00000223930","                                            ENSG00000223930  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.11,0.06,0.49,-0.06,"patient1_healthy",0.22,"healthy ASCs"
"00000412065","","00000279317","                                            ENSG00000279317  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.06,0.02,0.42,-0.03,"patient1_healthy",0,"healthy ASCs"
"00000412241","","00000230010","                                            ENSG00000230010  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.56,0.27,0.48,-0.29,"patient1_healthy",0,"healthy ASCs"
"00000412669","","00000223969","                                            ENSG00000223969  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",1.34,0.65,0.48,-0.7,"patient1_healthy",0.53,"healthy ASCs"
"00000412769","","00000235105","                                            ENSG00000235105  is a Pseudogene.                                            Diseases associated with ENSG00000235105 include Amyotrophic Lateral Sclerosis 2, Juvenile.                                                                                                                                    ",0.01,0.01,0.47,-0.01,"patient1_healthy",0.12,"healthy ASCs"
"00000412777","LRTOMT","00000184154
","This gene has evolved in primates as a fusion of two ancestral neighboring genes, Lrrc51 and Tomt, which exist as two independent genes in rodents. The fusion gene contains some shared exons, but encodes structurally unrelated proteins, LRTOMT1 and LRTOMT2. Those variants that utilize the more centromere-proximal 3' terminal exon (short transcript form) encode LRTOMT1, while those variants that use a more centromere-distal 3' terminal exon (long transcript form) encode the LRTOMT2 protein. There is a small region within one of the exons of this gene that contains overlapping alternate reading frames for both LRTOMT1 and LRTOMT2. LRTOMT1 shares similarity with the protein encoded by mouse Lrrc51, while LRTOMT2 shares similarity with the protein encoded by mouse Tomt. Alternative splicing results in multiple transcript variants, encoding different isoforms of both LRTOMT1 and LRTOMT2. The LRTOMT1 protein is a leucine-rich repeat-containing protein, while the LRTOMT2 protein is a catechol-O-methyltransferase that catalyzes the transfer of a methyl group from S-adenosyl-L-methionine to a hydroxyl group of catechols and is essential for auditory and vestibular function. Mutations in this gene have been associated with nonsyndromic deafness. [provided by RefSeq, Nov 2017]",0.6,0.24,0.4,-0.36,"patient1_healthy",1.12,"healthy ASCs"
"00000412951","","00000230695","                                            ENSG00000230695  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",1.53,0.69,0.45,-0.85,"patient1_healthy",1.21,"healthy ASCs"
"00000413004","","00000225750","                                            ENSG00000225750  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.51,0.23,0.44,-0.29,"patient1_healthy",1.08,"healthy ASCs"
"00000413240","","00000226661","                                            ENSG00000226661  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.74,0.34,0.45,-0.41,"patient1_healthy",1.3,"healthy ASCs"
"00000413848","","00000183308","                                            ENSG00000183308  is an RNA Gene, and is affiliated with the lncRNA class.                                            Diseases associated with ENSG00000183308 include Astrocytoma.                                                                                                                                    ",0.52,0.2,0.39,-0.32,"patient1_healthy",0.54,"healthy ASCs"
"00000414888","","00000225406","                                            ENSG00000225406  is a Pseudogene.                                                                                                                                                                                ",0.03,0.01,0.47,-0.02,"patient1_healthy",0.13,"healthy ASCs"
"00000415536","","00000236453","                                            ENSG00000236453  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",1.32,0.5,0.38,-0.82,"patient1_healthy",0.57,"healthy ASCs"
"00000415824","","00000205622","                                            ENSG00000205622  is an Uncategorized gene.                                                                                                                                                                                ",0.22,0.1,0.47,-0.11,"patient1_healthy",0,"healthy ASCs"
"00000416300","","00000227257","                                            ENSG00000227257  is a Pseudogene.                                                                                                                                                                                ",0.26,0.1,0.38,-0.16,"patient1_healthy",0,"healthy ASCs"
"00000416638","","00000238129","                                            ENSG00000238129  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.15,0.06,0.42,-0.09,"patient1_healthy",0,"healthy ASCs"
"00000417463","","00000234503","                                            ENSG00000234503  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.04,0.02,0.46,-0.02,"patient1_healthy",0,"healthy ASCs"
"00000417692","","00000233230","                                            ENSG00000233230  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",1.5,0.73,0.49,-0.76,"patient1_healthy",0.41,"healthy ASCs"
"00000418297","","00000229301","                                            ENSG00000229301  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.17,0.08,0.46,-0.09,"patient1_healthy",0,"healthy ASCs"
"00000418402","","00000238224","                                            ENSG00000238224  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.95,0.47,0.49,-0.48,"patient1_healthy",0,"healthy ASCs"
"00000418995","","00000224513","                                            ENSG00000224513  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",2.26,1.1,0.49,-1.17,"patient1_healthy",0.73,"healthy ASCs"
"00000419045","","00000233585","                                            ENSG00000233585  is a Pseudogene.                                                                                                                                                                                ",0.04,0.02,0.45,-0.02,"patient1_healthy",0,"healthy ASCs"
"00000419226","","00000243144","                                            ENSG00000243144  is an RNA Gene, and is affiliated with the lncRNA class.                                            Diseases associated with ENSG00000243144 include Clear Cell Renal Cell Carcinoma.                                                                                                                                    ",0.44,0.19,0.44,-0.24,"patient1_healthy",0,"healthy ASCs"
"00000419384","","00000230491","                                            ENSG00000230491  is a Pseudogene.                                                                                                                                                                                ",0.31,0.14,0.43,-0.18,"patient1_healthy",0,"healthy ASCs"
"00000419672","","00000230570","                                            ENSG00000230570  is a Pseudogene.                                                                                                                                                                                ",0.03,0.01,0.44,-0.01,"patient1_healthy",0,"healthy ASCs"
"00000419694","","00000229962","                                            ENSG00000229962  is an RNA Gene, and is affiliated with the lncRNA class.                                            Diseases associated with ENSG00000229962 include Pancreatic Cancer.                                                                                                                                    ",0.03,0.02,0.47,-0.02,"patient1_healthy",0,"healthy ASCs"
"00000419860","","00000237271","                                            ENSG00000237271  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.47,0.17,0.37,-0.3,"patient1_healthy",0,"healthy ASCs"
"00000419937","","00000227910","                                            ENSG00000227910  is a Pseudogene.                                                                                                                                                                                ",2.85,1.05,0.37,-1.8,"patient1_healthy",0.4,"healthy ASCs"
"00000420213","","00000237167","                                            ENSG00000237167  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.03,0.02,0.47,-0.02,"patient1_healthy",0,"healthy ASCs"
"00000420354","","00000231949","                                            ENSG00000231949  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.06,0.03,0.47,-0.03,"patient1_healthy",0,"healthy ASCs"
"00000420549","","00000233290","                                            ENSG00000233290  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.13,0.05,0.38,-0.08,"patient1_healthy",0.27,"healthy ASCs"
"00000420754","","00000239556","                                            ENSG00000239556  is a Pseudogene.                                                                                                                                                                                ",0.17,0.08,0.46,-0.09,"patient1_healthy",0.17,"healthy ASCs"
"00000421121","","00000230333","                                            ENSG00000230333  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.08,0.03,0.38,-0.05,"patient1_healthy",0,"healthy ASCs"
"00000421261","","00000266579","                                            ENSG00000266579  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.34,0.15,0.43,-0.2,"patient1_healthy",0.74,"healthy ASCs"
"00000421310","","00000236673","                                            ENSG00000236673  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.04,0.02,0.43,-0.02,"patient1_healthy",0,"healthy ASCs"
"00000421657","","00000228302","                                            ENSG00000228302  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.3,0.15,0.49,-0.16,"patient1_healthy",0.21,"healthy ASCs"
"00000421686","","00000240240","                                            ENSG00000240240  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.02,0.01,0.45,-0.01,"patient1_healthy",0,"healthy ASCs"
"00000421848","","00000223379","                                            ENSG00000223379  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.31,0.14,0.44,-0.17,"patient1_healthy",1.03,"healthy ASCs"
"00000421889","","00000283913","                                            ENSG00000283913  is an Uncategorized gene.                                                                                                                                                                                ",0.21,0.1,0.46,-0.12,"patient1_healthy",1.42,"healthy ASCs"
"00000421913","","00000236114","                                            ENSG00000236114  is a Pseudogene.                                                                                                                                                                                ",0.05,0.02,0.42,-0.03,"patient1_healthy",0,"healthy ASCs"
"00000422212","","00000237268","                                            ENSG00000237268  is a Pseudogene.                                                                                                                                                                                ",0.09,0.03,0.38,-0.06,"patient1_healthy",0.05,"healthy ASCs"
"00000422282","","00000225078","                                            ENSG00000225078  is a Pseudogene.                                                                                                                                                                                ",0.03,0.01,0.46,-0.01,"patient1_healthy",0,"healthy ASCs"
"00000422914","","00000236120","                                            ENSG00000236120  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.57,0.25,0.44,-0.32,"patient1_healthy",1,"healthy ASCs"
"00000422972","","00000226471","                                            ENSG00000226471  is an RNA Gene, and is affiliated with the lncRNA class.                                            Diseases associated with ENSG00000226471 include Astrocytoma.                                                                                                                                    ",0.97,0.45,0.47,-0.52,"patient1_healthy",0,"healthy ASCs"
"00000423293","","00000213857","                                            ENSG00000213857  is a Pseudogene.                                                                                                                                                                                ",0.06,0.02,0.39,-0.04,"patient1_healthy",0.16,"healthy ASCs"
"00000424075","","00000236617","                                            ENSG00000236617  is an Uncategorized gene.                                                                                                                                                                                ",0.93,0.41,0.45,-0.51,"patient1_healthy",0.96,"healthy ASCs"
