"product","productIngredient","gene","EnsemblID","EntrezSummary","GeneCardsSummary","UniProtKB_Summary"
"neurotransmitter","acetylcholine","CHRND","ENSG00000135902","The acetylcholine receptor of muscle has 5 subunits of 4 different types: 2 alpha and 1 each of beta, gamma and delta subunits. After acetylcholine binding, the receptor undergoes an extensive conformation change that affects all subunits and leads to opening of an ion-conducting channel across the plasma membrane. Defects in this gene are a cause of multiple pterygium syndrome lethal type (MUPSL), congenital myasthenic syndrome slow-channel type (SCCMS), and congenital myasthenic syndrome fast-channel type (FCCMS). Several transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2015]","CHRND (Cholinergic Receptor Nicotinic Delta Subunit) is a Protein Coding gene.                                            Diseases associated with CHRND include Multiple Pterygium Syndrome, Lethal Type and Myasthenic Syndrome, Congenital, 3C, Associated With Acetylcholine Receptor Deficiency.                                            Among its related pathways are Succinylcholine Pathway, Pharmacokinetics/Pharmacodynamics and Transmission across Chemical Synapses.                                            Gene Ontology (GO) annotations related to this gene include extracellular ligand-gated ion channel activity and ligand-gated ion channel activity.                                            An important paralog of this gene is CHRNG.","After binding acetylcholine, the AChR responds by an extensive change in conformation that affects all subunits and leads to opening of an ion-conducting channel across the plasma membrane.
                         ACHD_HUMAN,Q07001
                         "
"neurotransmitter","acetylcholine","CHRNA1","ENSG00000138435","The muscle acetylcholine receptor consiststs of 5 subunits of 4 different types: 2 alpha subunits and 1 each of the beta, gamma, and delta subunits. This gene encodes an alpha subunit that plays a role in acetlycholine binding/channel gating. Alternatively spliced transcript variants encoding different isoforms have been identified. [provided by RefSeq, Nov 2012]","CHRNA1 (Cholinergic Receptor Nicotinic Alpha 1 Subunit) is a Protein Coding gene.                                            Diseases associated with CHRNA1 include Myasthenic Syndrome, Congenital, 1B, Fast-Channel and Myasthenic Syndrome, Congenital, 1A, Slow-Channel.                                            Among its related pathways are Succinylcholine Pathway, Pharmacokinetics/Pharmacodynamics and Transmission across Chemical Synapses.                                            Gene Ontology (GO) annotations related to this gene include ion channel activity.                                            An important paralog of this gene is CHRNA4.","After binding acetylcholine, the AChR responds by an extensive change in conformation that affects all subunits and leads to opening of an ion-conducting channel across the plasma membrane.
                         ACHA_HUMAN,P02708
                         "
"jack3d preworkout","adaptogen blend","HSPA4","ENSG00000170606","HSPA4 (Heat Shock Protein Family A (Hsp70) Member 4) is a Protein Coding gene.                                            Diseases associated with HSPA4 include Vulvovaginitis and Babesiosis.                                            Among its related pathways are Cellular response to heat stress and Mechanisms of CFTR activation by S-nitrosoglutathione (normal and CF).                                                                                        An important paralog of this gene is HSPA4L.","HSPA4 (Heat Shock Protein Family A (Hsp70) Member 4) is a Protein Coding gene.                                            Diseases associated with HSPA4 include Vulvovaginitis and Babesiosis.                                            Among its related pathways are Cellular response to heat stress and Mechanisms of CFTR activation by S-nitrosoglutathione (normal and CF).                                                                                        An important paralog of this gene is HSPA4L.","no summary"
"stress hormone","adrenaline","DBH","ENSG00000123454","The protein encoded by this gene is an oxidoreductase belonging to the copper type II, ascorbate-dependent monooxygenase family. The encoded protein, expressed in neuroscretory vesicles and chromaffin granules of the adrenal medulla, catalyzes the conversion of dopamine to norepinephrine, which functions as both a hormone and as the main neurotransmitter of the sympathetic nervous system. The enzyme encoded by this gene exists exists in both soluble and membrane-bound forms, depending on the absence or presence, respectively, of a signal peptide. Mutations in this gene cause dopamine beta-hydroxylate deficiency in human patients, characterized by deficits in autonomic and cardiovascular function, including hypotension and ptosis. Polymorphisms in this gene may play a role in a variety of psychiatric disorders. [provided by RefSeq, Aug 2017]","DBH (Dopamine Beta-Hydroxylase) is a Protein Coding gene.                                            Diseases associated with DBH include Orthostatic Hypotension 1 and Pure Autonomic Failure.                                            Among its related pathways are Neuroscience and Monoamine Transport.                                            Gene Ontology (GO) annotations related to this gene include copper ion binding and L-ascorbic acid binding.                                            An important paralog of this gene is MOXD1.","Conversion of dopamine to noradrenaline.
                         DOPO_HUMAN,P09172
                         "
"stress hormone","adrenaline","PNMT","ENSG00000141744","The product of this gene catalyzes the last step of the catecholamine biosynthesis pathway, which methylates norepinephrine to form epinephrine (adrenaline). The enzyme also has beta-carboline 2N-methyltransferase activity. This gene is thought to play a key step in regulating epinephrine production. Alternatively spliced transcript variants have been found for this gene. [provided by RefSeq, Nov 2012]","PNMT (Phenylethanolamine N-Methyltransferase) is a Protein Coding gene.                                            Diseases associated with PNMT include Extra-Adrenal Pheochromocytoma and Von Hippel-Lindau Syndrome.                                            Among its related pathways are Tyrosine metabolism and Biogenic Amine Synthesis.                                            Gene Ontology (GO) annotations related to this gene include methyltransferase activity and phenylethanolamine N-methyltransferase activity.                                            An important paralog of this gene is NNMT.","Converts noradrenaline to adrenaline.
                         PNMT_HUMAN,P11086
                         "
"stress hormone","adrenaline","SDHB","ENSG00000117118","Complex II of the respiratory chain, which is specifically involved in the oxidation of succinate, carries electrons from FADH to CoQ. The complex is composed of four nuclear-encoded subunits and is localized in the mitochondrial inner membrane. The iron-sulfur subunit is highly conserved and contains three cysteine-rich clusters which may comprise the iron-sulfur centers of the enzyme. Sporadic and familial mutations in this gene result in paragangliomas and pheochromocytoma, and support a link between mitochondrial dysfunction and tumorigenesis. [provided by RefSeq, Jul 2008]","SDHB (Succinate Dehydrogenase Complex Iron Sulfur Subunit B) is a Protein Coding gene.                                            Diseases associated with SDHB include Paragangliomas 4 and Paraganglioma And Gastric Stromal Sarcoma.                                            Among its related pathways are Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins. and Parkinson disease.                                            Gene Ontology (GO) annotations related to this gene include oxidoreductase activity and 4 iron, 4 sulfur cluster binding.                                            ","Iron-sulfur protein (IP) subunit of succinate dehydrogenase (SDH) that is involved in complex II of the mitochondrial electron transport chain and is responsible for transferring electrons from succinate to ubiquinone (coenzyme Q).
                         SDHB_HUMAN,P21912
                         "
"controlled substance","alcohol","ADH1B","ENSG00000196616","The protein encoded by this gene is a member of the alcohol dehydrogenase family. Members of this enzyme family metabolize a wide variety of substrates, including ethanol, retinol, other aliphatic alcohols, hydroxysteroids, and lipid peroxidation products. This encoded protein, consisting of several homo- and heterodimers of alpha, beta, and gamma subunits, exhibits high activity for ethanol oxidation and plays a major role in ethanol catabolism. Three genes encoding alpha, beta and gamma subunits are tandemly organized in a genomic segment as a gene cluster. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Nov 2013]","ADH1B (Alcohol Dehydrogenase 1B (Class I), Beta Polypeptide) is a Protein Coding gene.                                            Diseases associated with ADH1B include Alcohol Dependence and Fetal Alcohol Syndrome.                                            Among its related pathways are Glucose metabolism and acetone degradation I (to methylglyoxal).                                            Gene Ontology (GO) annotations related to this gene include oxidoreductase activity and alcohol dehydrogenase activity, zinc-dependent.                                            An important paralog of this gene is ADH1C.","Catalyzes the NAD-dependent oxidation of all-trans-retinol and its derivatives such as all-trans-4-hydroxyretinol and may participate in retinoid metabolism (PubMed:15369820, PubMed:16787387). In vitro can also catalyzes the NADH-dependent reduction of all-trans-retinal and its derivatives such as all-trans-4-oxoretinal (PubMed:15369820, PubMed:16787387). Catalyzes in the oxidative direction with higher efficiency (PubMed:16787387). Has the same affinity for all-trans-4-hydroxyretinol and all-trans-4-oxoretinal (PubMed:15369820).
                         ADH1B_HUMAN,P00325
                         "
"controlled substance","alcohol","ADH1C","ENSG00000248144","This gene encodes class I alcohol dehydrogenase, gamma subunit, which is a member of the alcohol dehydrogenase family. Members of this enzyme family metabolize a wide variety of substrates, including ethanol, retinol, other aliphatic alcohols, hydroxysteroids, and lipid peroxidation products. Class I alcohol dehydrogenase, consisting of several homo- and heterodimers of alpha, beta, and gamma subunits, exhibits high activity for ethanol oxidation to acetaldehyde, thus playing a major role in ethanol catabolism. Three genes encoding alpha, beta and gamma subunits are tandemly organized in a genomic segment as a gene cluster. An association between ADH1C polymorphism and alcohol dependence has not been established. [provided by RefSeq, Sep 2019]","ADH1C (Alcohol Dehydrogenase 1C (Class I), Gamma Polypeptide) is a Protein Coding gene.                                            Diseases associated with ADH1C include Alcohol Dependence and Parkinson Disease, Late-Onset.                                            Among its related pathways are Glucose metabolism and Signaling by GPCR.                                            Gene Ontology (GO) annotations related to this gene include oxidoreductase activity and alcohol dehydrogenase (NAD) activity.                                            An important paralog of this gene is ADH1B.","no summary"
"controlled substance","alcohol","ALDH2","ENSG00000111275","This protein belongs to the aldehyde dehydrogenase family of proteins. Aldehyde dehydrogenase is the second enzyme of the major oxidative pathway of alcohol metabolism. Two major liver isoforms of aldehyde dehydrogenase, cytosolic and mitochondrial, can be distinguished by their electrophoretic mobilities, kinetic properties, and subcellular localizations. Most Caucasians have two major isozymes, while approximately 50% of East Asians have the cytosolic isozyme but not the mitochondrial isozyme. A remarkably higher frequency of acute alcohol intoxication among East Asians than among Caucasians could be related to the absence of a catalytically active form of the mitochondrial isozyme. The increased exposure to acetaldehyde in individuals with the catalytically inactive form may also confer greater susceptibility to many types of cancer. This gene encodes a mitochondrial isoform, which has a low Km for acetaldehydes, and is localized in mitochondrial matrix. Alternative splicing results in multiple transcript variants encoding distinct isoforms.[provided by RefSeq, Nov 2016]","ALDH2 (Aldehyde Dehydrogenase 2 Family Member) is a Protein Coding gene.                                            Diseases associated with ALDH2 include Alcohol Sensitivity, Acute and Alcohol Dependence.                                            Among its related pathways are Glucose metabolism and Neurotransmitter Clearance In The Synaptic Cleft.                                            Gene Ontology (GO) annotations related to this gene include oxidoreductase activity and aldehyde dehydrogenase (NAD) activity.                                            An important paralog of this gene is ALDH1B1.","no summary"
"allergy medicine","allegra","HRH1","ENSG00000196639","Histamine is a ubiquitous messenger molecule released from mast cells, enterochromaffin-like cells, and neurons. Its various actions are mediated by histamine receptors H1, H2, H3 and H4. The protein encoded by this gene is an integral membrane protein and belongs to the G protein-coupled receptor superfamily. It mediates the contraction of smooth muscles, the increase in capillary permeability due to contraction of terminal venules, the release of catecholamine from adrenal medulla, and neurotransmission in the central nervous system. It has been associated with multiple processes, including memory and learning, circadian rhythm, and thermoregulation. It is also known to contribute to the pathophysiology of allergic diseases such as atopic dermatitis, asthma, anaphylaxis and allergic rhinitis. Multiple alternatively spliced variants, encoding the same protein, have been identified. [provided by RefSeq, Jan 2015]","HRH1 (Histamine Receptor H1) is a Protein Coding gene.                                            Diseases associated with HRH1 include Allergic Rhinitis and Allergic Conjunctivitis.                                            Among its related pathways are RET signaling and Signaling by GPCR.                                            Gene Ontology (GO) annotations related to this gene include G protein-coupled receptor activity and histamine binding.                                            An important paralog of this gene is CHRM5.","In peripheral tissues, the H1 subclass of histamine receptors mediates the contraction of smooth muscles, increase in capillary permeability due to contraction of terminal venules, and catecholamine release from adrenal medulla, as well as mediating neurotransmission in the central nervous system.
                         HRH1_HUMAN,P35367
                         "
"allergy medicine","allegra","ABCB1","ENSG00000085563","The membrane-associated protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra- and intra-cellular membranes. ABC genes are divided into seven distinct subfamilies (ABC1, MDR/TAP, MRP, ALD, OABP, GCN20, White). This protein is a member of the MDR/TAP subfamily. Members of the MDR/TAP subfamily are involved in multidrug resistance. The protein encoded by this gene is an ATP-dependent drug efflux pump for xenobiotic compounds with broad substrate specificity. It is responsible for decreased drug accumulation in multidrug-resistant cells and often mediates the development of resistance to anticancer drugs. This protein also functions as a transporter in the blood-brain barrier. Mutations in this gene are associated with colchicine resistance and Inflammatory bowel disease 13. Alternative splicing and the use of alternative promoters results in multiple transcript variants. [provided by RefSeq, Feb 2017]","ABCB1 (ATP Binding Cassette Subfamily B Member 1) is a Protein Coding gene.                                            Diseases associated with ABCB1 include Colchicine Resistance and Inflammatory Bowel Disease 13.                                            Among its related pathways are Zidovudine Pathway, Pharmacokinetics/Pharmacodynamics and Ponatinib Pathway, Pharmacokinetics/Pharmacodynamics.                                            Gene Ontology (GO) annotations related to this gene include transporter activity and ATPase activity, coupled to transmembrane movement of substances.                                            An important paralog of this gene is ABCB4.","Translocates drugs and phospholipids across the membrane (PubMed:8898203, PubMed:2897240, PubMed:9038218). Catalyzes the flop of phospholipids from the cytoplasmic to the exoplasmic leaflet of the apical membrane. Participates mainly to the flop of phosphatidylcholine, phosphatidylethanolamine, beta-D-glucosylceramides and sphingomyelins (PubMed:8898203). Energy-dependent efflux pump responsible for decreased drug accumulation in multidrug-resistant cells (PubMed:2897240, PubMed:9038218).
                         MDR1_HUMAN,P08183
                         "
"allergy medicine","allegra","ALB","ENSG00000163631","This gene encodes the most abundant protein in human blood. This protein functions in the regulation of blood plasma colloid osmotic pressure and acts as a carrier protein for a wide range of endogenous molecules including hormones, fatty acids, and metabolites, as well as exogenous drugs. Additionally, this protein exhibits an esterase-like activity with broad substrate specificity. The encoded preproprotein is proteolytically processed to generate the mature protein. A peptide derived from this protein, EPI-X4, is an endogenous inhibitor of the CXCR4 chemokine receptor. [provided by RefSeq, Jul 2016]","ALB (Albumin) is a Protein Coding gene.                                            Diseases associated with ALB include Analbuminemia and Hyperthyroxinemia, Familial Dysalbuminemic.                                            Among its related pathways are Lipoprotein metabolism and Folate Metabolism.                                            Gene Ontology (GO) annotations related to this gene include enzyme binding and chaperone binding.                                            An important paralog of this gene is AFP.","Binds water, Ca(2+), Na(+), K(+), fatty acids, hormones, bilirubin and drugs (Probable). Its main function is the regulation of the colloidal osmotic pressure of blood (Probable). Major zinc transporter in plasma, typically binds about 80% of all plasma zinc (PubMed:19021548). Major calcium and magnesium transporter in plasma, binds approximately 45% of circulating calcium and magnesium in plasma (By similarity). Potentially has more than two calcium-binding sites and might additionally bind calcium in a non-specific manner (By similarity). The shared binding site between zinc and calcium at residue Asp-273 suggests a crosstalk between zinc and calcium transport in the blood (By similarity). The rank order of affinity is zinc > calcium > magnesium (By similarity). Binds to the bacterial siderophore enterobactin and inhibits enterobactin-mediated iron uptake of E.coli from ferric transferrin, and may thereby limit the utilization of iron and growth of enteric bacteria such as E.coli (PubMed:6234017). Does not prevent iron uptake by the bacterial siderophore aerobactin (PubMed:6234017).
                         ALBU_HUMAN,P02768
                         "
"allergy medicine","allegra","ICAM1","ENSG00000090339","This gene encodes a cell surface glycoprotein which is typically expressed on endothelial cells and cells of the immune system. It binds to integrins of type CD11a / CD18, or CD11b / CD18 and is also exploited by Rhinovirus as a receptor. [provided by RefSeq, Jul 2008]","ICAM1 (Intercellular Adhesion Molecule 1) is a Protein Coding gene.                                            Diseases associated with ICAM1 include Malaria and Hepatocellular Carcinoma.                                            Among its related pathways are Interleukin-11 Signaling Pathway and Folate Metabolism.                                                                                        An important paralog of this gene is ICAM3.","ICAM proteins are ligands for the leukocyte adhesion protein LFA-1 (integrin alpha-L/beta-2). During leukocyte trans-endothelial migration, ICAM1 engagement promotes the assembly of endothelial apical cups through ARHGEF26/SGEF and RHOG activation.
                         ICAM1_HUMAN,P05362
                         "
"allergy medicine","allegra","KCNH2","ENSG00000055118","This gene encodes a voltage-activated potassium channel belonging to the eag family. It shares sequence similarity with the Drosophila ether-a-go-go (eag) gene. Mutations in this gene can cause long QT syndrome type 2 (LQT2). Transcript variants encoding distinct isoforms have been identified. [provided by RefSeq, Jul 2008]","KCNH2 (Potassium Voltage-Gated Channel Subfamily H Member 2) is a Protein Coding gene.                                            Diseases associated with KCNH2 include Long Qt Syndrome 2 and Short Qt Syndrome 1.                                            Among its related pathways are Cardiac conduction and Hematopoietic Stem Cell Differentiation.                                            Gene Ontology (GO) annotations related to this gene include protein homodimerization activity and obsolete signal transducer activity.                                            An important paralog of this gene is KCNH7.","Pore-forming (alpha) subunit of voltage-gated inwardly rectifying potassium channel. Channel properties are modulated by cAMP and subunit assembly. Mediates the rapidly activating component of the delayed rectifying potassium current in heart (IKr) (PubMed:18559421, PubMed:26363003, PubMed:27916661).
                         KCNH2_HUMAN,Q12809
                         "
