"Ensembl_ID","patient1_healthy","patient2_healthy","patient3_healthy","patient4_healthy","patient5_healthy","patient6_healthy","patient7_healthy","patient8_healthy","patient9_healthy","patient10_healthy","patient1_diseased","patient2_diseased","patient3_diseased","patient4_diseased","patient5_diseased","patient6_diseased","patient7_diseased","patient8_diseased","patient9_diseased","patient10_diseased","HealthyMean","DiseasedMean","FoldChange","DifferentialExpression"
"ENST00000254963",0.26,1.9,0.35,1.71,2.01,0.45,0.25,0.71,0.24,0.67,1.46,10.15,5.35,11.07,3.03,0.86,2.2,0.51,1.98,0.94,0.88,3.76,4.29,2.88
"ENST00000255326",0.1,0,0,0,0,0,0,0,0,0,0.24,0,0.05,0.02,0,0,0,0,0.15,0.05,0.01,0.05,4.5,0.04
"ENST00000255465",0,0,0,0,0,0,0,0.07,0,0,0.42,0,0,0,0.13,0,0,0,0,0,0.01,0.05,7.6,0.05
"ENST00000258651",0,0,0,0,0,0,0,0.22,0,0,0,0,0,0,0.8,0,0,0.23,0.22,0,0.02,0.12,5.1,0.1
"ENST00000258817",0,0,0,0,0.26,0,0,0,0,0,0.5,0,0.17,0.66,0,0,0,0,0,0,0.03,0.13,4.63,0.1
"ENST00000259466",0,0,0,0,0,0,0,0,0.08,0.08,0.16,0,0,0.08,0,0,0,0.09,0,0.09,0.01,0.04,4.63,0.03
"ENST00000260988",0.13,0,0,0,0,0,0,0,0.15,0,0.29,0,0,0.14,0,0,0,0.65,0.15,0,0.03,0.12,4.02,0.09
"ENST00000261007",0,0,0,0,0,0.06,0,0,0,0,0.06,0,0.53,0,0,0,0,0,0,0,0.01,0.06,8.21,0.05
"ENST00000261454",0,0,0,0,0,0,0.02,0,0.08,0,0.06,0.29,0,0,0,0.15,0.06,0.05,0,0,0.01,0.06,5.49,0.05
"ENST00000261963",0,0.47,0,0,0.61,0,0.26,0.12,0.42,0.43,0.11,2.17,2.28,1.26,2.05,0,0.5,0.22,0.57,0.05,0.21,0.92,4.42,0.71
"ENST00000262551",0,0,0.16,0,0,0,0,0,0,0,0,0,0.56,0.68,0,0,0,0,0,0,0.02,0.12,6.83,0.11
"ENST00000262630",0,0,0.14,0,0,0,0,0,0,0,0.16,0,0,0.18,0,0,0.19,0,0,0.18,0.02,0.07,4.41,0.05
"ENST00000263932",0.03,0,0,0,0.09,0.09,0,0,0,0.09,0.14,0.33,0.24,0.19,0,0.03,0,0.03,0,0,0.02,0.1,4.29,0.07
"ENST00000264234",0,0,0.05,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0.15,0.15,0,0,0.01,0.04,7.72,0.04
"ENST00000264601",0,0,0,0,0,0,0,0,0.06,0.21,0.16,0.18,0.25,0,0.03,0.03,0.1,0.22,0.15,0.48,0.01,0.16,24.98,0.15
"ENST00000264661",0,0,0.06,0,0,0,0,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0.01,0.03,4.69,0.03
"ENST00000264811",0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0.13,0,0.24,0.22,0.01,0.06,4.78,0.05
"ENST00000265495",0,0,0,0,0,0,0,0,0.31,0,1.39,0,1.92,0.98,0,1.61,0,0.02,0,0,0.03,0.59,17.09,0.56
"ENST00000265627",0,0.23,0.51,0,0,0,0,0,0,0,0,0,0.74,0,0,0.2,1.66,1.52,0,0,0.08,0.41,5,0.33
"ENST00000266086",0,0,0,0,0.07,0,0,0,0.03,0.17,0.06,0,0.12,0.15,0.24,0,0,0.09,0.12,0.06,0.01,0.08,7.92,0.07
"ENST00000266088",0.01,0.02,0,0,0,0.01,0,0.02,0.01,0.09,0.09,0.01,0.04,0.05,0,0.02,0.03,0.03,0.07,0.01,0.01,0.04,4.72,0.03
"ENST00000266434",0.03,0,0,0,0.07,0,0,0,0,0,0.04,0.12,0,0.33,0,0,0,0,0,0.12,0.01,0.06,5.88,0.05
"ENST00000266610",0,0.5,0,0,0,0,0,0,0,0.94,0.91,0.62,0,0.89,0,0,0,0,1.11,0,0.06,0.35,6.42,0.3
"ENST00000266674",0,0.06,0,0,0,0,0,0,0,0,0.03,0.09,0,0,0,0.07,0,0,0,0.09,0.01,0.03,4.03,0.02
"ENST00000267291",0,0,0,0,0,0.05,0,0,0.04,0,0.26,0,0.04,0.04,0,0.09,0,0.13,0,0,0.01,0.06,5.71,0.05
"ENST00000268756",0,0,0,0,0,0.13,0,0,0,0,0,0.09,0,0.94,0,0,0.17,0.1,0,0.35,0.01,0.17,11.8,0.15
"ENST00000268912",0,0,0,0,0,0,0,0,0.07,0,0.07,0,0.14,0.07,0,0,0,0.07,0,0,0.01,0.04,4.52,0.03
"ENST00000272286",0,0.02,0,0,0,0,0,0.02,0.02,0.02,0.2,0,0.04,0.06,0,0,0,0.02,0.04,0.02,0.01,0.04,5.56,0.03
"ENST00000272520",0,0,0.03,0,0,0,0,0.02,0,0,0.19,0,0.02,0.02,0,0,0,0.02,0.02,0.03,0.01,0.03,5.57,0.03
"ENST00000277465",0.22,0,0,0,0,0,0.01,0,0,0.76,0,0,0.94,0.16,0.14,0,0,0,0,0,0.03,0.12,4.83,0.1
"ENST00000277705",0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0.16,0,0,0.24,0,0.72,0.02,0.11,7.44,0.1
"ENST00000280696",0,0,0,0,0,0.09,0,0,0,0.31,0.5,0,0.19,0,0,0,0,0,0.07,0,0.01,0.08,7.54,0.07
"ENST00000282928",0.04,0.04,0.11,0.18,4.46,0.05,0.1,0.02,0.1,0.02,5.5,3.39,3,3.03,3.87,7.95,5.21,6.99,5.24,5.87,0.57,5,8.82,4.44
"ENST00000284311",0,0,0.06,0,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0,0.12,0,0.01,0.03,5.15,0.03
"ENST00000286650",0,0,0.02,0,0.02,0,0.08,0,0.04,0,0.12,0,0.03,0,0,0,0.34,0.72,0.17,0.27,0.02,0.16,8.78,0.15
"ENST00000287713",0,0,0,0,0,0,0,0,0.19,0,0.55,0.38,0,0.75,0,0,0,0,0,0.2,0.02,0.19,8.86,0.17
"ENST00000287907",0.02,0,0,0,0,0,0.02,0.02,0,0,0.11,0,0,0.04,0.08,0,0,0,0,0.02,0.01,0.02,4.09,0.02
"ENST00000287913",0,0,0.21,0,0,0,0,0,0,0.47,0,0,0.08,0.25,0,0,0.44,0.66,0,0,0.02,0.14,6.22,0.12
"ENST00000288839",0,0,0.92,0,0,0,0,0,0,1.09,4.4,0,0,0,0,0,0,0,0,0,0.1,0.44,4.31,0.34
"ENST00000289429",0.03,0,0.03,0,0,0,0,0,0,0.03,0.2,0,0.03,0,0,0,0,0,0.03,0.09,0.01,0.03,5.44,0.03
"ENST00000290390",0.07,0.07,0,0,0.51,0,0,0,0,0,0.45,0.27,0.64,0.38,0.83,0.13,0,0,0.11,0.69,0.07,0.35,4.85,0.28
"ENST00000290419",0.04,0,0,0,0.05,0,0,0,0,0.12,0.16,0.06,0,0.22,0,0.49,0.32,0,0.14,0,0.01,0.14,12.99,0.13
"ENST00000290722",0.05,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0.11,0,0.01,0.03,4.96,0.02
"ENST00000291236",0.07,0,0.09,0,0,0,0,0,0,0,0.3,0,0.12,0,0.49,0,0.12,0,0,0,0.02,0.1,5.74,0.09
"ENST00000292309",0,0,0,0,0,0,0,0.12,0,0,0.05,0,0,0.09,0,0,0,0.27,0.12,0,0.01,0.05,4.07,0.04
"ENST00000292327",0,0,0,0,0.19,0,0,0,0,0,0,0.07,0,0,0.07,0.3,0.15,0.24,0.08,0.09,0.02,0.1,4.68,0.08
"ENST00000292574",0.03,0,0,0,0,0.03,0,0,0,0.03,0.22,0,0,0.03,0.09,0,0,0,0,0,0.01,0.03,5.01,0.03
"ENST00000293273",0,0,0,0,0,0.25,0,0.11,0,0,0.29,0,0,0,0,0.76,0.6,0,0,0.12,0.04,0.18,4.44,0.14
"ENST00000293670",0,0,0,0,0.03,0,0,0,0.03,0.03,0.23,0,0,0.03,0,0,0,0.03,0.06,0.06,0.01,0.04,5.9,0.03
"ENST00000293968",0,0,0,0,0.28,0,0.31,0.21,0,1.91,0.82,0,0,0,0.63,0.33,0.42,1.26,0.5,0.5,0.09,0.45,5.03,0.36
"ENST00000293978",0,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.39,0.72,0.2,0,0.04,0.18,4.84,0.14
"ENST00000294728",0,0.09,0.14,0,0,0,0.13,0,0,0,0,0.62,0.14,0.25,0,0.4,0,0,0.36,0,0.04,0.18,4.38,0.14
"ENST00000294984",0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0.16,0,0,0.11,0.16,0.01,0.04,5.2,0.03
"ENST00000295989",0,0,0,0,0,0,0.04,0.03,0,0.1,0,0,0,0.14,0.17,0,0,0,0,0.03,0.01,0.03,4.14,0.03
"ENST00000296046",0,0,0,0,0,0.09,0,0.09,0,0.04,0.23,0,0,0,0.35,0.13,0,0,0.12,0,0.02,0.08,4.03,0.06
"ENST00000296333",0,0,0,0,0.16,0,0,0,0,0,0,0,0.54,0,0,0,1.85,0,0,0.42,0.02,0.28,15.44,0.26
"ENST00000297153",0,0,0.06,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0.34,0,0.08,0.01,0.05,7.99,0.05
"ENST00000297313",0,0,0.08,0,0,0,0.07,0,0,0,0.34,0.09,0,0.07,0.12,0,0,0.08,0,0,0.02,0.07,4.17,0.05
"ENST00000297819",0,0,0,0,0,0,0.06,0,0.06,0.07,0.13,0.07,0.2,0,0,0,0,0.2,0.07,0,0.01,0.07,4.67,0.05
"ENST00000298566",0,0,0,0,0,0,0,0,0.06,0,0.13,0,0.06,0,0,0,0,0,0,0.12,0.01,0.03,4.81,0.02
"ENST00000298942",0,0,0,0,0,0.31,0,0,0,0,0,0,2.3,0,0,0,0,0.78,0,0,0.03,0.31,9.09,0.27
"ENST00000299022",0,0.01,0.21,0,0,0.03,0.31,0,0,0.91,0.46,1.09,0,0.89,0,0.99,0,0,0,0,0.06,0.34,5.52,0.28
"ENST00000299252",0,1.36,0,0,0,0.95,0.81,0,0,1.09,0.25,0,4.45,2.43,0.12,0,0,6.47,0.92,0,0.35,1.46,4.22,1.12
"ENST00000299612",0,0,0,0,0.24,0,0.14,0,0,0,0,0.27,0.85,0,0,0,0,0.52,0.21,0,0.04,0.18,4.36,0.14
"ENST00000301141",0,0,0,0,0,0.01,0.08,0,0,0,0.21,0.1,0,0,0.21,0.04,0,0.17,0.15,0,0.01,0.09,8.59,0.08
"ENST00000301396",0,0,0,0,0,0,0.21,0,0.1,0,0,0.37,0,0,0.44,0,0.15,0,0.43,0,0.03,0.14,4.06,0.11
"ENST00000301466",0.16,0,0,0,0,0,0,0,0,0,0.32,0,0.18,0.22,0,0,0.3,0,0.39,0,0.02,0.14,7.88,0.12
"ENST00000301694",0,0,0,0.21,0.2,0,0,0,0,0,1.39,0,0.22,0,0,0,1.68,2,0,0,0.04,0.53,11.84,0.48
"ENST00000301906",0,0.08,0,0,0,0,0,0,0.01,0,0,0.7,0.1,0,0,0,0,0,0,0.08,0.01,0.09,8.7,0.08
"ENST00000302005",0,0,0,0,0.15,0.12,0,0,0,0,0.23,0,1.14,0,0,0,0,0,0,0.13,0.03,0.15,5.03,0.12
"ENST00000302071",0,0,0,0,0,0.4,0,0,0,0,0,0.33,0,0.79,0,0,0,0.58,0,0.38,0.04,0.21,4.68,0.16
"ENST00000302102",0,0,0,0,0,0,0,0.23,0,0,0.46,0,0.08,0,0,0,0,0.31,0.77,0.1,0.03,0.17,6.67,0.15
"ENST00000302637",8.72,0.51,0.31,0,0,2.82,0.77,0.01,2.27,0,14,17.14,0.23,2.18,0.01,6.7,18.91,27.99,7.68,0.86,1.71,9.57,5.58,7.86
"ENST00000304081",0.02,0,0,0,0,0.1,0,0,0,0,0,0.2,0,0,0,0.08,0,0.31,0,0,0.01,0.06,4.19,0.05
"ENST00000304355",0.12,0,0,0,0,0,0,0.13,0,0.12,0.49,0,0,0,0,0.38,0,0.26,0,0,0.03,0.11,4.15,0.09
"ENST00000304546",0,0.05,0.04,0,0.07,0,0,0,0,0,0,0.04,0.08,0.34,0,0.03,0,0.1,0.15,0.08,0.02,0.08,4.47,0.06
"ENST00000305934",0,0,0,0,0,0,0,0.06,0,0,0.31,0,0,0,0,0,0,0,0,0,0.01,0.03,4.48,0.02
"ENST00000306764",0,0,0,0,0.43,1,0,0,0,0.01,0,0.3,2.07,0,0,0,2.21,0,0,2.47,0.16,0.71,4.42,0.55
"ENST00000307068",0.04,0,0,0,0,0,0,0,0.02,0,0,0,0.04,0,0.08,0,0,0.04,0.04,0.07,0.01,0.03,4.52,0.02
"ENST00000307394",0,0,0.06,0,0.13,0.07,0,0,0.07,0.06,0.52,0,0,0,0.42,0,0.18,0.17,0.09,0.14,0.04,0.15,4.03,0.11
"ENST00000307552",0,0,0,0,0,0.07,0,0,0,0,0.22,0,0.14,0,0,0,0,0,0,0,0.01,0.04,4.42,0.03
"ENST00000307954",0,0,0,0,0,0,0.21,0.46,0,0.64,0.28,0,0,0,0.77,0,0.18,0,1.14,0.62,0.07,0.3,4.01,0.22
"ENST00000308227",0,0,0,0,0,0,0,0.16,0,1.33,0,0,0,0.15,0.14,0,0.31,0,0.48,0,0.02,0.11,6.03,0.09
"ENST00000308433",0,0.2,0.03,0,0.17,0.11,0,0,0.7,0.44,1.42,0,0.75,1.41,1.2,0.03,0.09,1.45,0.55,1.17,0.14,0.81,5.97,0.67
"ENST00000308682",0,0,0,0,0,0,0,0,0.07,0,0.35,0,0.07,0.07,0,0,0,0,0,0,0.01,0.05,6.26,0.04
"ENST00000308744",0,0,0,0,0.07,0,0,0,0,0,0.28,0,0.03,0,0,0,0,0,0,0.07,0.01,0.04,4.75,0.03
"ENST00000309285",0,0.06,0.04,0.05,0.03,0.01,0.15,0.01,0.01,0.05,0.03,0.13,0.17,1.08,0.13,0.01,0.01,0.03,0.01,0.02,0.04,0.16,4.03,0.12
"ENST00000310394",0.03,0,0,0,0,0.05,0,0,0,0,0,0.07,0.2,0.2,0,0,0,0,0,0.05,0.01,0.05,5.47,0.04
"ENST00000310677",0,0.48,0,0,0,0,0,0,0,0,0.67,0,0,0,0.01,0.84,0,0,0,0.64,0.05,0.22,4.01,0.16
"ENST00000310991",0.11,0,0,0,0,0,0,0,0,0.27,0.28,0,0.43,0,0,0,0,0.15,0,0.08,0.01,0.09,7.84,0.08
"ENST00000311762",0,0,0,0,0,0,0.05,0,0,0,0.21,0,0,0,0,0,0,0,0.05,0.05,0.01,0.03,5.62,0.03
"ENST00000311822",0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.68,0,0,0,0,0,0.01,0.07,6.09,0.06
"ENST00000311967",0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,1.21,0,0,0,0.02,0.12,5.56,0.1
"ENST00000312150",0,0,0,0,0,0,0,0,0.08,0,0.27,0.12,0.04,0,0,0,0,0,0.04,0,0.01,0.05,5.45,0.04
"ENST00000312457",0,0,0,0,0,0.04,0,0,0.04,0.04,0.15,0,0.04,0,0,0,0,0.2,0.08,0.08,0.01,0.06,6.21,0.05
"ENST00000313049",0.21,0,0,0,0,0,0,0,0.52,0,0,0,0,0,0.25,1.35,1.2,0,1.22,0,0.08,0.4,4.96,0.32
"ENST00000313352",0,0,0,0,1.04,0,0,0,0,0,0,0.32,0,0,1.29,2.15,0.35,0,0.89,0.37,0.12,0.54,4.67,0.42
"ENST00000313426",0.02,0,0.02,0,0,0.05,0,0.07,0,0.03,0.2,0,0,0,0.13,0.14,0.2,0,0,0.21,0.02,0.09,4.52,0.07
"ENST00000314117",0,0.13,0,0.33,0,0,0,0,0,0,0.44,0.1,0.28,0,0,0.38,0,0.28,1.28,0.26,0.05,0.3,5.86,0.25
"ENST00000314348",0,0,0,0,0,0,0,0,0.06,0,0,0,0.3,0,0,0,0,0,0.12,0,0.01,0.04,6.53,0.04
"ENST00000314349",0.26,0,0,0,0,0,0,0,0,0,0.14,0.28,0,0,0,0,0,0.88,0,0.44,0.03,0.17,6.02,0.15
"ENST00000314527",0,0,0,0,0,0,0.6,0,0,3.67,0,0,0.95,2.58,0,0,0,0,0,0,0.07,0.35,5.22,0.29
"ENST00000314594",0,0,0.23,0,0,0,0.16,0,0.42,0.16,1.46,0.2,0,0,0,0,0.51,0.45,0.33,0.73,0.09,0.37,4.07,0.28
"ENST00000314644",0,0,0,0,0,0,0,0,0.07,0,0.2,0,0,0.07,0,0,0,0,0.07,0.07,0.01,0.04,5.52,0.03
"ENST00000315194",0,0,0,0,0,0,0,0,0.16,0,0.35,0,0,0.73,0,0,0,0,0,0,0.02,0.11,6.19,0.09
"ENST00000315332",0,0,0,0,0,0.07,0,0.02,0.02,0,0,0.06,0,0.16,0,0.53,0.08,0,0.07,0,0.01,0.09,8.12,0.08
"ENST00000315519",0,0,0,0,0,0,0,0.06,0,0,0.31,0,0,0,0,0,0,0,0.06,0,0.01,0.04,5.31,0.03
"ENST00000315643",0,0,0,0,0,0,0,0.18,0,1.23,0,0,0.35,0,1.01,0,0,0.21,0,1.62,0.02,0.32,15.53,0.3
"ENST00000315947",0,0,0.05,0,0,0,0,0,0,0,0.12,0.08,0,0.08,0,0,0,0,0.08,0,0.01,0.04,7.3,0.03
"ENST00000316397",0,0,0,0,0,0,0,0.06,0,0,0.02,0,0,0,0,0,0,0,0.18,0.09,0.01,0.03,4.22,0.02
"ENST00000316517",0,0,0.1,0,0,0,0,0,0,0,0.47,0,0,0.09,0,0,0,0.1,0,0.11,0.01,0.08,6.62,0.07
"ENST00000317199",0,0,0,0,0,0,0.45,0,0,0,0.7,0,0.23,0.7,0.23,0,0.25,0.53,0.5,0.37,0.05,0.35,7,0.3
"ENST00000317589",0,0,0,0,0,0,0,0,0.39,0,0.39,0,0,0,0,0,1.82,2.12,1.95,0.98,0.04,0.73,16.59,0.68
"ENST00000318050",0,0,0.1,0,0,0,0,0,0,0,0.34,0,0.09,0,0,0,0,0.09,0,0,0.01,0.05,4.81,0.04
"ENST00000318981",0.52,0.09,0.78,0,0.28,0.01,0.11,0.6,0.73,0.16,2.38,0.49,0,0.52,1.6,1.55,3.79,1.24,1.99,1.26,0.35,1.48,4.27,1.13
"ENST00000319338",0,0,0.03,0,0,0,0,0.06,0,0,0.22,0.05,0.03,0,0,0.01,0,0.04,0.07,0,0.01,0.04,4.52,0.03
"ENST00000319636",0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0.91,0,0,0,0.16,0.02,0.11,4.68,0.08
"ENST00000319637",0.02,0,0,0,0,0,0,0.03,0.03,0.03,0.08,0,0,0.02,0.03,0,0.06,0.06,0.03,0.11,0.01,0.04,4.23,0.03
"ENST00000320516",0,0,0,0,0,0.18,0,0,0,0,0.19,0,0.52,0.25,0,0.12,0.21,0,0,0,0.02,0.13,6.56,0.11
"ENST00000320767",0,0,0,0,0,0,0,0,0.06,0,0.12,0,0,0.06,0,0,0,0.18,0,0,0.01,0.04,5.56,0.03
"ENST00000321252",0.06,0,0,0,0,0,0,0,0,0,0.39,0,0,0,0,0,0,0,0,0,0.01,0.04,5.84,0.03
"ENST00000321255",0.08,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.01,0.05,5.61,0.04
"ENST00000321800",0,0,0,0,0,0,0,0.13,0,0,0.36,0,0,0.12,0,0,0,0.13,0,0,0.01,0.06,4.4,0.05
"ENST00000321870",0.03,0,0,0,0.03,0,0,0.02,0,0.02,0.05,0.02,0.13,0.33,0.03,0,0.05,0.03,0.09,0.02,0.01,0.07,8.49,0.07
"ENST00000321961",0,0,0,0,0,0,0,0,0.06,0,0.19,0,0.06,0.06,0,0,0,0,0,0,0.01,0.03,4.47,0.03
