"Ensembl_ID","patient1_healthy","patient2_healthy","patient3_healthy","patient4_healthy","patient5_healthy","patient6_healthy","patient7_healthy","patient8_healthy","patient9_healthy","patient10_healthy","patient1_diseased","patient2_diseased","patient3_diseased","patient4_diseased","patient5_diseased","patient6_diseased","patient7_diseased","patient8_diseased","patient9_diseased","patient10_diseased","HealthyMean","DiseasedMean","FoldChange","DifferentialExpression"
"ENST00000225648",10.14,6.53,8.92,6.66,4.91,7.81,11.36,9.25,13.12,6.6,4.68,1.73,3.03,4.49,2.42,10.19,7.02,0.39,0.49,5.16,8.74,3.96,0.45,-4.78
"ENST00000225831",90.63,64.59,54.88,126.51,89.02,65.58,83.83,44.93,41.32,45.17,23.05,24.18,36.01,37.16,86.19,34.25,25.09,16.97,27.51,25.11,73.47,33.55,0.46,-39.92
"ENST00000226218",0,2.88,0.45,1.7,0.47,0.66,0.29,0.16,0.29,0.59,0.71,0,0,0.57,0.52,0.6,0,0.14,0.27,0.27,0.77,0.31,0.4,-0.46
"ENST00000228226",0,0,0,0.07,0,0,0.18,0,0.12,0.3,0.16,0,0,0,0,0,0,0,0,0,0.04,0.02,0.38,-0.03
"ENST00000228264",0,0,1.12,0,0,0.25,0.5,0,0.08,0.64,0,0,0,0.08,0,0,0.59,0.26,0,0,0.22,0.09,0.43,-0.12
"ENST00000228468",0.14,0.07,0.21,0,0.42,0.19,0.52,0,0.7,0.28,0,0.07,0.06,0.14,0,0.32,0.09,0.07,0.25,0,0.25,0.1,0.41,-0.15
"ENST00000228936",0.01,0.04,0.04,0,0.01,0.09,0.04,0.05,0,0.1,0.06,0.01,0,0,0,0,0.04,0.02,0,0.02,0.03,0.02,0.48,-0.02
"ENST00000230321",0.04,0,0.63,0.79,0,2.03,0.48,0.52,1.68,0.81,0,0,0,0,0.42,0.88,0.16,0.45,0.58,0.19,0.69,0.27,0.39,-0.42
"ENST00000231136",0.14,0.15,0.22,1.33,0,0.38,0.72,0.14,0.14,0,0,0.18,0,0,0.22,0.32,0,0.25,0.14,0.26,0.36,0.14,0.38,-0.22
"ENST00000231461",0.2,0.13,0.31,0.19,0.03,0.24,0.34,0.3,0.14,0.11,0.17,0.06,0.09,0.1,0.05,0.2,0.02,0.05,0.01,0.11,0.21,0.09,0.41,-0.12
"ENST00000231721",0.24,0.04,0.01,0,0.02,0.08,0,0.01,0.06,0.03,0.05,0,0.02,0.02,0,0,0.04,0.06,0.01,0.01,0.05,0.02,0.4,-0.03
"ENST00000233710",0.9,2.73,1.15,1.04,0.85,1.34,1.34,1.75,2.15,1.5,0.7,0.69,0.33,0.49,0.32,0.77,0.69,0.83,0.83,0.55,1.47,0.62,0.42,-0.85
"ENST00000233957",0,1.42,0.26,0,1.03,1.09,0.07,0,0.13,0,0.21,0,0.08,1.4,0,0,0.03,0.04,0,0,0.44,0.18,0.4,-0.27
"ENST00000234313",5.93,2.28,2.32,5.73,0.37,3.43,5.48,0.83,2.46,4.23,3.44,0.45,0.95,2.54,0,1.52,1.36,0.27,0.81,2.26,3.2,1.36,0.42,-1.84
"ENST00000234816",1.09,3.15,2.27,3.76,2.4,0.73,1.11,1.17,1.52,3.83,0.05,1.95,1.21,1.48,2.16,1.02,0.08,0.14,0.52,0.7,1.91,0.93,0.49,-0.98
"ENST00000235453",0,0.53,0.57,0.27,0.39,0,0,0.96,0,0.62,0,0.41,0.47,0.19,0,0,0,0,0.17,0,0.3,0.12,0.41,-0.18
"ENST00000236147",0.02,0.11,0.29,0,0.26,0.55,0.79,0.69,0.52,0.72,0.13,0.13,0.18,0.21,0.11,0.06,0.16,0.05,0.2,0.37,0.36,0.16,0.44,-0.2
"ENST00000236937",7.05,1.07,2.89,8.49,0,2.41,3.33,1.56,2.35,3.51,2.54,0.3,0.06,1.48,0,1.11,0.71,0.9,1.08,4.1,3.24,1.23,0.38,-2.01
"ENST00000236979",0,0,0.66,0,0,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0,0.13,0.05,0.39,-0.08
"ENST00000238699",0,1.32,1.59,0,0.06,0.53,1.28,0,0,0.65,0,0,0,0.52,0.39,0.5,0.56,0,0,0,0.53,0.2,0.37,-0.33
"ENST00000239151",9.02,5.67,5.53,4.91,2.87,4.5,7.68,6.58,7.76,7.01,3.15,3.7,1.76,2.85,0.93,7.4,4.86,0.37,0.29,3.81,6.06,2.91,0.48,-3.15
"ENST00000240727",0,0.75,1.9,0,3.61,0.16,1.68,0.01,0.32,1.66,0,0.35,0,0.61,0.39,0.3,0.25,0,0.07,1.53,0.94,0.35,0.37,-0.59
"ENST00000242465",42.52,55.42,35.8,35.2,24.19,36.28,23.11,23.88,30.4,18.81,18.19,26.63,11.03,9.29,14.35,18.17,14.02,8.84,8.21,16.83,34.09,14.56,0.43,-19.53
"ENST00000242804",0.05,0.32,0.25,0.35,0.25,0.87,0.25,0.39,0.33,0.59,0.23,0.13,0.43,0.1,0.06,0.24,0.05,0.14,0.13,0.13,0.34,0.16,0.48,-0.18
"ENST00000242872",1.23,0,0,0,0.69,0.01,3.13,0,1.68,4.94,0,0,0,0,2.81,0,0,0,0,0,0.75,0.28,0.38,-0.47
"ENST00000243300",0.74,0.09,0.67,0.13,0.04,0.65,0.45,0.1,0.35,0.17,0.1,0,0.02,0.05,0.12,0.68,0.09,0.11,0.13,0.34,0.36,0.16,0.46,-0.19
"ENST00000243562",0,0,0.33,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0.04,0.01,0.4,-0.02
"ENST00000243810",0,0,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0.08,0.03,0.45,-0.04
"ENST00000244799",0.03,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.01,0,0.44,0
"ENST00000245479",4.48,7.48,7.38,5.92,6.41,6.61,7.77,11.73,12.7,10.42,2.38,5.14,2.12,2.76,4.69,4.99,2.06,2.38,2.82,4.85,7.83,3.42,0.44,-4.41
"ENST00000245983",0,0,0,0,0.7,1.26,0,0,0,0,0.89,0,0,0,0,0,0,0,0,0,0.22,0.09,0.41,-0.13
"ENST00000247271",0,0,0,0.48,0,0,0,0.07,0,0,0.15,0,0,0,0.11,0,0,0,0.04,0,0.06,0.03,0.48,-0.03
"ENST00000247879",0.06,0,0.07,1.37,0.16,0.28,0,0,0.39,0.26,0.6,0,0.07,0,0,0.21,0,0.27,0.07,0,0.26,0.12,0.47,-0.14
"ENST00000248484",0,0,0,0.29,0,0.38,0.38,0.3,0,0.04,0,0.08,0,0.23,0.08,0.18,0,0,0,0,0.15,0.06,0.38,-0.09
"ENST00000248899",1.85,0.22,0.67,1.77,0,0.24,1.2,0.98,0.94,1.52,1.2,0,0,0,0,0.61,1.19,0,0.17,0.65,0.87,0.38,0.44,-0.49
"ENST00000248996",0.58,0.2,0.29,0.63,0.2,0.1,0.36,0.29,0.71,0.22,0.15,0.34,0.2,0.18,0.22,0.15,0.06,0.08,0.12,0.32,0.37,0.18,0.49,-0.19
"ENST00000249075",1.3,2.09,2.88,3.22,2.96,1,8.8,1.92,1.15,2.98,0.51,1.18,1.79,1.28,2.22,0.27,0.64,0.96,0.24,1.18,2.81,1.03,0.37,-1.79
"ENST00000249330",0.7,0.07,0.17,0.13,0.22,0.29,2.71,0.63,0.48,0.6,0.38,0.13,0,0.03,0.21,0.12,0.79,0.3,0.34,0.5,0.6,0.28,0.47,-0.32
"ENST00000249776",0,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0.07,0.03,0.41,-0.04
"ENST00000250379",1.9,1.37,2.55,3.52,1.42,0.99,1.56,0,0.77,0.63,0,1.15,0,0,0.25,0.81,0.66,0.35,2.46,1.31,1.56,0.7,0.45,-0.87
"ENST00000251864",0,0,0.12,0,0,0.14,0,0,0.32,0,0,0,0,0.12,0,0,0,0.08,0,0.06,0.06,0.03,0.39,-0.04
"ENST00000252322",0,0,0.09,0,0.11,0.6,0.63,0.21,0.19,0.17,0,0.11,0,0,0,0.3,0.09,0.08,0,0.26,0.2,0.08,0.41,-0.12
"ENST00000252338",0.1,0.02,0.25,0.09,0.04,0.05,0.18,0.07,0.1,0.03,0.09,0,0.12,0.03,0.03,0.06,0.04,0.05,0.05,0,0.1,0.05,0.47,-0.05
"ENST00000252490",2.03,1.59,1,7.15,0,1.63,0.81,0.76,0,1.21,3.12,0.12,1.19,1.36,0,0.38,0,0,0,0.3,1.66,0.65,0.39,-1.01
"ENST00000252597",0,0.17,0,0,0.07,0.12,0,0,0.04,0,0.02,0.04,0.03,0.02,0,0.04,0.02,0.02,0,0.03,0.04,0.02,0.47,-0.02
"ENST00000252984",0.65,3.07,0.32,0,0.26,2.61,0.12,1.27,1.57,0,0.42,0.54,0,0.72,0,0.42,0.66,0,1.26,0.43,1.1,0.45,0.41,-0.65
"ENST00000253719",0,0.3,0,0,0.17,0.07,0.08,0.31,0.06,0,0,0.06,0.19,0.18,0,0,0,0,0.04,0.07,0.11,0.05,0.49,-0.06
"ENST00000254165",0,0.1,0.07,0.48,0,0,0.15,0.08,0,0.15,0,0.13,0,0,0,0.27,0,0,0,0,0.1,0.04,0.41,-0.06
"ENST00000254579",0.24,0.15,0.44,0.79,0,0,0,0,0.4,0,0.34,0,0,0.19,0,0,0,0,0,0.35,0.22,0.09,0.39,-0.14
"ENST00000255324",0,0,0,0,0,0,0.03,0.06,0,0,0,0,0,0.03,0,0,0,0,0,0,0.01,0,0.37,-0.01
"ENST00000255499",2.05,0.94,1.33,1.59,1.32,0.58,5.52,2.51,2.28,1.14,0.6,0.37,0.52,0.5,0.63,0.76,1.16,2.05,0.44,0.87,2.01,0.79,0.39,-1.22
"ENST00000255746",0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.01,0.01,0.41,-0.01
"ENST00000256104",12.7,5.02,4.32,10.54,0.66,12.56,6.96,6.03,7.48,8.12,9.18,1.17,2.59,4.4,0,7.54,1.92,1.17,3.54,4.53,7.36,3.6,0.49,-3.76
"ENST00000256463",0.3,0,0,0,11.17,0,0,0,0,0,0,0,0,0,0.28,0,0.36,0,0,5.33,1.27,0.6,0.47,-0.68
"ENST00000257118",3.07,1.83,0.45,1.09,1.04,1.34,2.99,0.9,2.7,0,0.83,1.32,0.47,1.56,1.06,0,0,1.25,1.37,0,1.71,0.79,0.46,-0.93
"ENST00000257209",2.11,4.32,3.8,6.47,4.06,4.75,3.34,2.59,7.83,3.75,0.85,1.79,2.02,2.77,2.99,2.76,1.73,1.47,2.43,2.3,4.36,2.11,0.48,-2.25
"ENST00000257621",0,0,0,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0.09,0.04,0.4,-0.05
"ENST00000258187",0,0.36,0,3.26,0.47,0,3.31,0.44,0,2.29,0,0.12,0,2.4,0.35,0,1,0.29,0.14,0,0.87,0.43,0.49,-0.44
"ENST00000258362",2.43,1.66,2.42,2.43,1.26,1.65,2.19,1.32,2.32,1.14,0.77,1.31,0.99,1.08,1.08,1.09,0.29,0.62,0.93,1.06,1.96,0.92,0.47,-1.04
"ENST00000258729",0,0.1,0.25,0.52,0.06,0.07,0.98,0.17,0.08,0.46,0,0,0.06,0.09,0.09,0.13,0.13,0.35,0.09,0,0.25,0.09,0.38,-0.15
"ENST00000258787",0.21,0.16,0.24,0,0,0,0.13,0,0,0.22,0.39,0,0,0,0,0,0,0,0,0,0.08,0.04,0.48,-0.04
"ENST00000259075",2.29,5.74,6.17,3.15,2.08,5.87,9.19,2.47,2.2,0,2.93,3.78,3.26,1.56,1.04,3.26,3.47,1.17,0,0,4.35,2.05,0.47,-2.3
"ENST00000259206",0,0.24,0,1.76,0.54,0,0.82,0,0,0.23,0,0,0.35,1.21,0,0,0,0.19,0,0,0.37,0.18,0.47,-0.2
"ENST00000259622",0,0.07,0,0.61,0,0,0,0.11,0.09,0,0.31,0,0,0,0,0,0,0,0,0.08,0.1,0.04,0.4,-0.06
"ENST00000259988",0,0,0,0,0.07,0,0.06,0.18,0.06,0.06,0.18,0,0,0,0,0,0,0,0,0,0.04,0.02,0.44,-0.02
"ENST00000260008",0,0.75,0,0.56,0,0,0,0.29,0.34,0.46,0,0,0,0,0,0,0.3,0,0.26,0.3,0.22,0.09,0.4,-0.13
"ENST00000260126",0.03,0.02,0.02,0.08,0.03,0.07,0.1,0.03,0.03,0,0.05,0.01,0.02,0.01,0,0.04,0.01,0.04,0,0.03,0.04,0.02,0.44,-0.03
"ENST00000260227",4.16,0.5,3.39,1.73,0.15,9.28,2.89,0,1.25,2.53,0.69,0.34,2.02,2.23,0,2.54,0,0.07,0.3,3.44,2.6,1.16,0.45,-1.43
"ENST00000260505",1.68,1.9,1.67,2.36,1.15,2.12,2.54,1.4,1.64,2.4,0.54,0.83,0.78,0.95,0.87,0.85,0.82,0.69,0.38,1.1,1.83,0.78,0.43,-1.05
"ENST00000260638",0,0.47,6.1,10.41,5.3,1,6.66,0,0.42,0,2.3,1.6,0.36,3.48,0,3.47,0,0,0.48,1.71,3.37,1.34,0.4,-2.03
"ENST00000261172",0.19,0,0.92,0,0.37,0.71,0.2,0.39,0.65,0.26,0.15,0.15,0.08,0.61,0.2,0.21,0,0,0,0.32,0.38,0.17,0.45,-0.21
"ENST00000261180",0.2,0.27,0.38,0.05,0.54,0.09,0.14,0.26,0.12,0.03,0.08,0.21,0.15,0.02,0.1,0.04,0,0.21,0.01,0.12,0.23,0.09,0.41,-0.13
"ENST00000261267",21.24,16.8,19.53,36.98,0.49,54.16,23.62,11.6,21.55,25.71,26.5,2.51,3.8,14.33,0.46,20.92,6.83,4.81,7.85,23.8,22.88,11.18,0.49,-11.7
"ENST00000261699",0.15,0,0.53,0,0.04,0,0.91,0,0.46,0,0,0.22,0,0,0.28,0.2,0,0.43,0,0,0.23,0.11,0.49,-0.12
"ENST00000261908",0.4,0.38,2.01,0.46,1.68,0,0.15,1.24,1.11,0.81,0.2,0.09,0,0,0,0,1.34,1.86,0.01,0.15,0.82,0.36,0.44,-0.46
"ENST00000261948",0.27,0.16,0,0.55,0,0,0,0,0,0.23,0,0,0,0,0,0.3,0,0.16,0.05,0,0.11,0.05,0.47,-0.06
"ENST00000261970",0,0,0,0,0,1.12,1.06,0.85,1.29,0,0.51,0,0,0,0.96,0,0,0,0.37,0.35,0.48,0.22,0.46,-0.26
"ENST00000262018",0.78,2.7,0.35,1.15,3.68,0.86,3.22,0.12,0.59,1.24,0.48,1.3,0.56,1.68,1.09,0,0.88,0.38,0,0,1.49,0.64,0.43,-0.86
"ENST00000262241",0.13,0.17,0,0.86,0,0,0.81,0,0.35,0,0.16,0.32,0,0,0,0,0,0.17,0.33,0.18,0.26,0.12,0.45,-0.14
"ENST00000262383",0,0,0,0,0,0.29,0,0.25,0,0,0,0,0,0,0,0,0,0.02,0,0.21,0.06,0.02,0.37,-0.04
"ENST00000262396",10.68,0,0,0,0,0,0,0,0,3.97,0,0,0,0,5.05,0.15,0,0,0,0,1.19,0.52,0.44,-0.67
"ENST00000262464",12.55,32.06,74.28,24.29,7.51,12.1,20.83,19.24,19.6,14,15.74,7.99,27.28,5.24,6.78,9.45,8.73,14.44,6.49,5.5,24.72,10.76,0.44,-13.96
"ENST00000262591",0.06,0.77,0.62,0,0.7,0.16,0.77,1.1,0.45,0,0,0.23,0.33,0,0.48,0,0.62,0.14,0,0.18,0.51,0.2,0.38,-0.32
"ENST00000262625",0,0,0.03,0,0,0,0,0.03,0,0,0.03,0,0,0,0,0,0,0,0,0,0.01,0,0.43,0
"ENST00000262741",0,0.56,1.25,1.19,1.18,0.9,1.57,0.61,0.95,0.48,0.16,0.6,0.39,0.54,0.49,0,0.53,0.08,0.32,0.58,0.91,0.37,0.4,-0.54
"ENST00000262825",0,0,0,0,0.01,0,0.05,0.18,0,0,0,0,0.01,0,0,0,0.03,0.01,0.01,0.05,0.03,0.01,0.38,-0.02
"ENST00000262929",0.32,0.8,0,1.72,0,0.44,0.84,0,0.35,0.36,0,0.7,0,0.39,0,0.42,0.22,0,0.16,0.17,0.5,0.21,0.42,-0.29
"ENST00000263174",0.44,1.13,1.34,0.9,0.39,1.02,0.88,1.17,0.48,1.06,0.03,0.94,0.76,0,0,1.02,0.29,0.58,0.08,0.38,0.86,0.41,0.47,-0.45
"ENST00000263177",0,0.04,0.04,0,0,0.04,0.06,0.02,0,0,0,0,0.02,0,0,0,0,0,0.06,0.02,0.02,0.01,0.44,-0.01
"ENST00000263341",1.39,2.02,0.74,1.75,0.65,0.85,1.48,0.52,0.5,0.78,0.33,0.84,0.43,0.59,0.24,0.84,0.28,0.44,0.35,0.63,1.1,0.5,0.45,-0.61
"ENST00000263707",0.09,0.04,0.05,0.22,0.01,0.11,0.11,0.02,0.1,0.13,0.07,0,0.02,0.08,0.03,0.06,0.01,0.01,0.02,0.06,0.08,0.04,0.43,-0.05
"ENST00000263817",0,0.01,0,0.01,0.1,0.06,0,0,0,0.02,0.04,0,0,0.03,0,0,0,0,0,0.03,0.02,0.01,0.47,-0.01
"ENST00000263864",5.09,2.33,3.18,7.77,0,4.4,4.58,2.93,4.42,0.47,3.86,0.23,1.32,0.8,0.33,1.65,2.07,0.93,2.1,2.17,3.85,1.55,0.4,-2.31
"ENST00000264047",0,0,0,0,0,0,0.01,0.04,0,0.03,0,0.01,0,0,0,0,0,0.01,0,0,0.01,0,0.44,0
"ENST00000264218",0,0,0.12,0,0,0,0,0,0.32,0,0,0.11,0,0,0,0,0,0.11,0,0,0.05,0.02,0.45,-0.03
"ENST00000264231",0,0.36,0,0,0.45,0.59,0.1,0.31,0.11,0.7,0.11,0.18,0.1,0.18,0.15,0,0.08,0,0,0.16,0.21,0.1,0.45,-0.12
"ENST00000264381",1.38,1.77,3.17,1.7,0.66,2.2,5.5,2.25,1.56,1.41,0.37,1.43,0.52,1.19,0.52,3.11,2,0.61,0.11,0.48,2.24,1.04,0.46,-1.21
"ENST00000264387",0.14,0.16,0.04,0.18,0.23,0.23,0.14,0.04,0,0,0,0,0,0.08,0.04,0.12,0.19,0.08,0,0.07,0.13,0.06,0.45,-0.07
"ENST00000264400",0.35,0.8,0.58,0,0.17,0.25,2.74,0.1,0.13,0.57,0.17,0.19,0.19,0.88,0,0.3,0,0.28,0.25,0.51,0.57,0.28,0.49,-0.29
"ENST00000264487",0.58,0,0,0,0.15,0,1.97,0,0,1.59,0.23,0.31,0,0,0.62,0,0,0,0,0,0.3,0.12,0.39,-0.18
"ENST00000264676",0,0,0.06,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0.01,0,0.46,0
"ENST00000264870",3.1,5.55,2.22,4.67,0.39,1.57,3.5,0.71,2.18,2.2,1.35,1.09,2.02,1.1,0.19,1.68,2.94,0.19,0.4,1.06,2.66,1.2,0.45,-1.45
"ENST00000265080",0.06,0.19,0.13,0.13,0.14,0.1,0.07,0.17,0.04,0.18,0.01,0.06,0.08,0.04,0.11,0.01,0.06,0.06,0.1,0.02,0.11,0.05,0.48,-0.06
"ENST00000265162",1.86,0.18,0.69,1.05,0.13,1.95,0.86,1.94,1.01,0.54,0.44,0.11,0.32,0.22,0.27,1.39,0.53,0.76,0.52,0.55,1.07,0.51,0.47,-0.56
"ENST00000265272",0.06,0.28,0,0,0,0.09,0.19,0,0,0,0.17,0,0,0,0,0.07,0.04,0,0,0,0.07,0.03,0.4,-0.04
"ENST00000265417",4.64,0.21,0.21,0.19,0.28,2.1,0,0.14,0.11,0.4,0.6,0.2,0.06,0.03,0.3,1.03,0.84,0.4,0.43,0.12,0.88,0.4,0.46,-0.48
"ENST00000265724",0,0,0.28,0,0.13,0,0,0.06,0.01,0,0,0,0.06,0,0,0.02,0.18,0,0,0,0.05,0.03,0.48,-0.03
"ENST00000265727",0.1,0.66,0.36,1.95,0.09,0.31,0,0.33,0.36,0,0.22,0.54,0.69,0,0.14,0.03,0.08,0.05,0,0.08,0.46,0.18,0.4,-0.28
"ENST00000265801",0,0,0,0,0.21,0,0,0,0.78,1.15,0,0,0,0,0.44,0,0,0,0,0,0.11,0.04,0.4,-0.07
"ENST00000265843",0.11,0,0,0,0,0,0.15,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0.03,0.01,0.47,-0.02
"ENST00000266252",8.13,2.86,2.59,5.12,0.17,4.37,2.46,1.98,2.66,5.23,1.8,0,2.79,0.34,1.48,1.9,0.68,0.71,1.32,1.65,3.37,1.27,0.38,-2.11
"ENST00000266775",5.04,1.72,0.76,1.31,0,0.21,0,0.73,0.51,1.34,1.21,2.05,0.16,0.67,0,0,0,0,0.23,1.05,1.14,0.54,0.47,-0.6
"ENST00000267731",0,0,0,0,0.49,0.72,0.83,0.51,0,0,0,0,0,0.3,0,0,0.47,0,0,0.56,0.28,0.13,0.47,-0.15
